row_id,source_name,source_type,recipe_name,source_url,method,brewer,is_exact_v60,bean_name,bean_origin,bean_process,bean_variety,roast_level_text,water_g_hot,ice_g,coffee_g,brew_ratio,water_temp_c,water_temp_profile_c,water_tds_ppm,water_hardness_mg_l,grind_text,grind_microns,bloom_g,bloom_time_s,pours_total,total_brew_time_s,pour_schedule_text,agitation_text,explicit_taste_text,sweetness_score_weak,bitterness_score_weak,acidity_score_weak,sourness_risk_score_weak,balance_score_weak,label_source,notes
cc_light_roast_v60,Coffee Chronicler,brew_guide_article,Example light roast Hario V60 recipe,https://coffeechronicler.com/brewing-techniques-for-different-roast-levels/,pour_over,V60,True,,,washed light-roast scenario,,light,250,0.0,15.0,16.667,98.0,boiling hot,50.0,,fine,,70.0,45.0,3.0,165.0,0:00 70g; 0:45 70g; 1:15 110g,shake cone after first pour,target fruity light roasts; risk grassy under-extracted cups if brewed badly,4.7,4.0,4.0,4.2,4.0,inferred_from_source_text,Useful because it includes explicit water TDS and roast-specific advice.
kaldis_reverse_mullet,Kaldi's Coffee,brew_guide_article,V60 Reverse Mullet,https://kaldiscoffee.com/blogs/recipes/v60-coffee-brewer-guide-and-recipe,pour_over,V60,True,,,,,,256,0.0,16.0,16.0,98.0,96-100,,,medium-fine,,40.0,45.0,3.0,188.0,0:00 bloom 40g; 0:45 aggressive pour +75mL to ~115mL; then gentle continuous pour to 256mL,swirl + zig-zag stir in bloom; aggressive second stage; final gentle steady pour,"well-extracted cup with little channeling, high clarity, and a great representation of the coffee; extra sweet and juicy on Switch variant",7.8,4.0,4.8,3.0,5.0,explicit_from_source_text,Very process-rich row with agitation encoded.
crimson_cup_v60,Crimson Cup,brew_guide_article,The Perfect Pour-over with the Hario V60,https://www.crimsoncup.com/coffee-and-tea/the-perfect-pour-over-with-the-hario-v60,pour_over,V60,True,,,,,,300,0.0,25.0,12.0,96.1,205F,,,fine-to-medium,,55.0,30.0,2.0,150.0,0:00 bloom 50-60g; after 30s continue concentric pour,"continuous concentric circles, avoid edges",bright coffees with fruity and floral notes; natural sweetness and subtle flavors shine through,9.4,4.0,6.3,4.1,4.0,explicit_from_source_text,Source text seems internally inconsistent on stop pouring at 200g vs initial 300g water setup.
atlas_club_v60,Coffee Chronicler,review_note,Atlas Coffee Club V60 tasting recipe,https://coffeechronicler.com/review-atlas-coffee-club/,pour_over,V60,True,Nueva Segovia lot,Nicaragua,,,medium,350,0.0,22.0,15.909,,,,,,,,,5.0,180.0,5 pours to 350g,,"extremely fruity and sweet; cherry and raw sugar; consistent cup; prune, brown sugar, walnut",10.0,4.0,4.0,3.0,5.2,explicit_from_source_text,Excellent labeled row but missing some process variables.
yesplz_v60,Coffee Chronicler,review_note,Yes Plz V60 tasting recipe,https://coffeechronicler.com/yes-plz-coffee-subscription/,pour_over,V60,True,Yes Plz blend,,,,,350,0.0,22.0,15.909,,,,,,,,,2.0,195.0,bloom then continuous pour to 350g,continuous pour after bloom,"almond, lemon zest, and orange juice; balanced feel with a drying almond-like effect",4.5,5.2,7.0,4.4,9.5,explicit_from_source_text,Good acidity-bearing row.
drum_2023_lowering_number,The Drumming Barista,brew_guide_article,2023 light/medium single-origin V60 recipe,https://thedrummingbarista.substack.com/p/the-drumming-baristas-top-3-v60-recipes,pour_over,V60,True,,,,,light/medium single-origin,300,0.0,20.0,15.0,,,,,medium,,75.0,40.0,3.0,225.0,0:00 bloom 75g; 0:40 75g; 1:40 150g,good swirl after bloom and second pour,seriously delicious cup of coffee,4.5,4.0,4.0,3.0,4.0,inferred_from_source_text,Good modern home-brew row.
drum_2021_one_long_pour,The Drumming Barista,brew_guide_article,The first coffee of the day,https://thedrummingbarista.substack.com/p/the-drumming-baristas-top-3-v60-recipes,pour_over,V60,True,,,,,,250,0.0,15.0,16.667,,,,,,,40.0,40.0,2.0,172.0,0:00 bloom 40g; 0:40 pour remaining 210g,swirl bloom,"syrupy sweet, thick silky mouthfeel, and a balanced cup of coffee; less agitation results in a sweeter cup",8.7,4.0,4.0,3.0,9.5,explicit_from_source_text,One of the best directly-labeled sweetness rows.
drum_2021_five_small_pours,The Drumming Barista,brew_guide_article,The full body massage,https://thedrummingbarista.substack.com/p/the-drumming-baristas-top-3-v60-recipes,pour_over,V60,True,,,,,,250,0.0,15.0,16.667,,,,,,,50.0,40.0,6.0,225.0,0:00 50g bloom; 0:40 50g; 1:10 50g; 1:40 50g; 2:10 50g; 2:40 50g,swirl bloom; 10s gaps between pours,"rich, strong tasting, full-bodied cup of filter coffee",4.5,4.0,4.0,3.0,4.0,explicit_from_source_text,Likely higher extraction/body row; not explicitly sweet.
drum_2021_three_pour,The Drumming Barista,brew_guide_article,The perfect combination of sweet and acidic,https://thedrummingbarista.substack.com/p/the-drumming-baristas-top-3-v60-recipes,pour_over,V60,True,,,,,,250,0.0,15.0,16.667,,,,,,,50.0,40.0,3.0,158.0,0:00 50g bloom; 0:40 100g; 1:30 100g,,"perfect combination of sweet and acidic; syrupy sweet, bright, easy to drink with light acidity",8.7,4.0,10.0,4.1,4.0,explicit_from_source_text,Great positive-vs-acidity tradeoff row.
deathwish_medium_v60,Coffee Chronicler,review_note,Death Wish medium roast V60,https://coffeechronicler.com/death-wish-coffee-review/,pour_over,V60,True,Death Wish,India; Peru,,,medium,352,0.0,22.0,16.0,,,,,,,,,,,,,"cinnamon, malt, smoky, cracked pepper",4.5,6.8,4.0,3.0,4.0,explicit_from_source_text,Useful bitter/roasty edge case.
deathwish_dark_v60,Coffee Chronicler,review_note,Death Wish dark roast V60,https://coffeechronicler.com/death-wish-coffee-review/,pour_over,V60,True,Death Wish,India; Peru,,,dark,352,0.0,22.0,16.0,,,,,,,,,,,,,"ashy, earthy, tobacco",4.5,8.2,4.0,3.0,4.0,explicit_from_source_text,Good negative / bitter-ish example.
